Id_cliente,Edad,Genero,Venta_total,N_Compras,FechaCompra,MontoCompra,MetodoPago,Tiempo,Navegador,Boletín,Vale
101,66,1,850.42,7,2025/06/20,$1529.52,1,41.5,2,1,1
102,25,1,277.23,1,01/22/2025,"932,61",0,11.6,4,0,0
103,37,1,1715.42,7,12/14/2025,583.87,5,30.3,1,1,1
104,41,1,2024.82,6,05/26/2025,1190.92,1,43.4,3,1,No
105,65,1,-678.31,5,12-01-2025,$1353.01,1,11.8,3,0,1
106,12,1,2302.36,8,05/04/2025,"""558.08""",0,32.0,1,0,
107,62,0,11.51,9,03/09/2025,$1406.91,1,9.4,3,1,1
108,66,1,1684.21,7,2025/08/07,1064.25,2,9.0,0,0,0
109,56,1,492.32,7,11/04/2025,511.81,1,28.3,99,0,0
110,56,0,-1974.72,9,12/20/2025,2394.76,-1,5.8,4,0,0
111,66,0,"717,27",1,2025-04-09,760.24,2,38.0,1,0,0
112,54,0,$1751.49,6,09/19/2025,2144.64,2,8.8,0,1,0
113,12,0,1871.79,8,2025-12-18,366.74,1,38.2,1,No,1
114,69,1,1401.83,7,2025/10/20,1344.34,1,30.1,10,0,0
115,49,1,635.13,4,01/09/2025,1358.13,5,8.2,0,1,1
116,50,0,-327.75,7,2025-11-28,1017.51,1,36.3,4,0,0
117,58,0,$1900.70,1,03/17/2025,-919.85,2,9.2,-1,1,0
118,12,1,2407.97,9,2025/06/23,-321.92,1,29.6,4,0,1
119,58,1,1632.00,0,2025/03/20,1335.65,2,29.9,2,1,1
120,58,1,"1,397,86",5,06/16/2025,1723.32,0,43.5,3,0,0
121,44,10,1177.17,3,20-07-2025,707.58,0,8.0,1,0,1
122,69,0,932.26,1,13-08-2025,2486.67,0,16.4,4,1,1
123,56,1,1536.50,2,09/17/2025,"444,76",0,17.8,5,1,0
124,38,1,1439.53,9,2025/02/04,1148.88,1,31.0,0,1,0
125,28,1,37.19,8,2025-09-14,2279.88,2,26.3,10,0,0
126,44,0,642.12,6,11/12/2025,735.07,0,26.8,3,1,1
127,40,0,1751.67,10,2025/10/12,1366.70,0,19.4,3,0,Masculino
128,41,0,2388.86,0,12/21/2025,"""883.26""",1,14.8,1,0,0
129,40,0,705.03,5,2025-03-14,2100.12,2,9.4,3,0,0
130,64,99,1478.13,7,2025/02/09,762.99,2,24.1,4,0,0
131,46,1,499.96,0,06-02-2025,"""2339.35""",0,23.6,3,0,1
132,67,0,2063.56,6,11/11/2025,1867.18,0,22.9,0,1,0
133,64,0,72.64,1,02/10/2025,2024.46,1,7.8,4,1,1
134,18,0,1019.95,2,10/22/2025,710.74,2,7.1,3,1,0
135,,1,  1410.82  ,3,11/27/2025,-1889.18,2,20.3,2,Si,1
136,38,0,1176.65,7,09/13/2025,1898.22,2,11.9,3,1,1
137,58,Femenino,1477.17,0,2025/05/21,1535.56,2,16.4,3,0,1
138,44,0,-159.53,1,2025-09-04,  1090.05  ,2,27.2,1,0,1
139,40,99,2219.53,9,08/02/2025,228.04,2,44.4,1,1,3
140,22,,535.77,0,2025-10-18,278.60,0,15.5,2,1,0
141,31,1,531.96,0,2025/05/02,1086.22,0,27.9,2,0,1
142,36,1,1384.49,1,11-09-2025,1827.81,1,40.4,2,99,0
143,60,1,$1939.01,0,11/13/2025,621.60,2,27.0,1,0,1
144,63,1,-2008.23,7,2025/08/12,843.18,0,38.5,0,0,0
145,39,0,1585.56,2,2025-06-21,2163.34,2,29.9,3,1,1
146,39,0,"773,85",8,02-04-2025,"1,244,81",1,16.7,3,1,1
147,33,1,$739.82,0,2025-10-04,1784.83,1,6.1,3,1,1
148,39,1,1782.50,0,12-09-2025,"1,802,18",2,3.5,2,0,0
149,51,0,1217.48,8,2025/07/16,90.64,0,43.6,4,1,N/A
150,53,0,1411.06,3,08-12-2025,2301.95,0,10.2,4,,10
151,37,0,2363.64,3,21-05-2025,"1,734,50",0,16.0,4,0,0
152,68,1,-2483.36,5,11/11/2025,2479.18,2,37.7,2,1,Femenino
153,59,1,-59.49,9,2025/06/09,$1204.97,3,19.2,0,1,1
154,41,0,2109.47,0,07/08/2025,1734.62,0,20.7,4,1,0
155,58,0,184.80,4,2025/05/11,417.75,5,35.3,1,1,1
156,19,0,2386.81,7,07-04-2025,"""964.57""",2,13.8,1,1,0
157,44,1,650.93,9,2025-05-17,"""327.48""",1,40.1,0,0,0
158,39,0,  1610.23  ,1,01/19/2025,"""889.68""",0,39.4,4,1,1
159,46,0,472.12,3,2025-05-12,2379.66,0,4.1,4,1,1
160,58,0,139.42,5,18-04-2025,1054.31,2,4.5,0,1,1
161,69,1,394.46,5,13-02-2025,1659.54,2,28.2,0,0,1
162,69,0,1196.19,2,02/17/2025,2314.82,0,18.0,4,,1
163,56,1,103.77,1,2025/07/23,1183.84,5,27.2,4,1,1
164,52,0,839.65,1,09/07/2025,331.51,2,19.6,3,0,0
165,26,1,  2123.04  ,7,2025/09/22,"""1399.01""",0,34.2,4,0,0
166,26,0,-1016.89,5,2025/02/06,"1,065,70",2,43.1,4,1,Si
167,18,0,966.88,5,2025/12/17,2420.42,2,8.7,1,0,1
168,24,1,1599.19,10,2025/03/05,2172.62,0,30.6,2,1,1
169,66,1,$1020.85,4,2025/11/11,-844.78,2,15.1,1,0,1
170,50,0,645.51,5,2025/01/01,339.94,0,2.1,,0,1
171,35,0,376.07,3,2025/08/01,85.85,2,7.4,4,1,0
172,60,1,1961.06,8,2025-01-24,2340.71,2,41.5,4,1,0
173,59,1,1471.84,7,2025/09/14,$1317.73,0,9.0,5,1,No
174,35,0,2090.54,4,08/02/2025,275.80,1,20.7,4,1,1
175,40,0,"929,76",1,20-05-2025,1446.53,2,7.5,10,N/A,0
176,69,0,1563.32,1,2025/07/20,-226.62,2,40.0,0,0,1
177,20,1,874.29,3,2025-02-24,  796.95  ,2,41.9,4,0,1
178,40,0,-1471.45,0,2025/11/02,790.95,2,15.9,4,1,1
179,43,1,1970.76,4,2025-05-18,-2038.14,5,38.1,2,1,1
180,51,1,890.98,1,09/04/2025,790.12,0,11.1,1,1,1
181,48,3,-1555.78,9,2025-04-23,105.40,2,8.7,4,0,Si
182,35,0,-2403.36,5,2025-05-22,729.43,2,8.1,0,0,0
183,31,0,"2,184,98",3,16-07-2025,954.92,1,41.5,,0,1
184,45,1,1289.23,7,09/05/2025,  2076.23  ,2,5.1,1,1,10
185,29,-1,381.83,2,01/08/2025,1077.88,1,9.9,0,1,1
186,23,0,"858,82",5,2025-06-11,409.99,2,25.2,1,0,0
187,51,1,478.43,8,2025/10/10,2213.16,0,29.8,1,1,1
188,64,1,2295.29,8,2025/11/09,-1889.89,2,22.8,0,0,0
189,0,0,1805.18,8,2025/11/04,"""1169.38""",10,26.9,2,1,1
190,36,1,  1834.38  ,7,2025-03-27,$2466.64,2,23.3,4,1,0
191,68,1,1206.76,1,04/12/2025,250.29,,5.9,0,0,1
192,65,0,224.28,2,15-05-2025,863.27,2,4.5,-1,N/A,1
193,54,1,2413.05,5,2025/03/11,  1156.41  ,2,18.4,4,0,0
194,51,0,  1617.12  ,5,2025/06/10,234.68,1,28.5,3,0,1
195,44,0,1991.57,0,2025-08-24,338.31,2,13.0,3,0,0
196,29,1,1459.61,0,2025/05/23,  1592.57  ,2,27.4,4,1,1
197,20,0,272.37,5,06-04-2025,1897.00,99,16.3,3,0,0
198,29,1,126.37,4,2025/07/11,448.56,0,4.1,4,0,1
199,19,0,1536.42,5,10/11/2025,805.09,0,28.9,3,0,1
200,66,0,1474.76,0,2025/09/10,"""533.69""",0,1.7,0,0,0
201,28,1,1317.49,3,2025/11/08,2166.83,1,22.3,0,0,Masculino
202,24,1,"""103.70""",1,2025-06-16,35.79,2,6.6,4,0,0
203,38,1,1777.33,8,24-10-2025,2354.02,0,35.1,99,0,1
204,30,0,1750.21,5,22-12-2025,325.64,2,30.7,2,0,0
205,68,0,2304.86,9,12-06-2025,"2,065,78",0,4.0,4,1,1
206,60,1,1356.47,7,2025-02-20,"""1389.62""",0,29.0,4,1,1
207,38,0,1614.21,7,2025/05/12,1780.23,1,38.8,5,Masculino,1
208,58,0,1376.90,0,07-10-2025,"2,011,76",0,24.5,0,1,1
209,46,1,2445.84,8,2025-03-21,2231.91,2,17.5,0,1,1
210,23,1,-1190.01,8,2025/04/24,1368.47,2,33.3,1,0,Masculino
211,32,1,545.99,4,2025-10-11,1071.20,1,5.6,0,1,1
212,28,0,"""796.46""",9,11/10/2025,616.20,5,17.0,10,1,-1
213,50,1,2143.29,5,2025-04-02,-1811.40,2,7.7,3,1,0
214,24,1,436.68,3,28-03-2025,"""357.26""",0,8.7,3,0,0
215,18,,258.01,6,2025/12/07,"1,330,04",0,21.3,4,1,1
216,32,1,248.55,5,2025-08-01,430.58,0,4.2,4,1,0
