Id_cliente,Edad,Genero,Venta_total,N_Compras,FechaCompra,MontoCompra,MetodoPago,Tiempo,Navegador,Boletin,Vale
101,66.0,1,850.42,7,2025-06-20,1529.52,1,41.5,2,1,1
102,25.0,1,277.23,1,2025-01-22,932.61,0,11.6,4,0,0
103,37.0,1,1715.42,7,2025-12-14,583.87,1,30.3,1,1,1
104,41.0,1,2024.82,6,2025-05-26,1190.92,1,43.4,3,1,0
105,65.0,1,1202.6799999999998,5,2025-01-12,1353.01,1,11.8,3,0,1
106,12.0,1,2302.36,8,2025-04-05,558.08,0,32.0,1,0,1
107,62.0,0,11.51,9,2025-09-03,1406.91,1,9.4,3,1,1
108,66.0,1,1684.21,7,2025-08-07,1064.25,2,9.0,0,0,0
109,56.0,1,492.32,7,2025-04-11,511.81,1,28.3,3,0,0
110,56.0,0,1202.6799999999998,9,2025-12-20,2394.76,1,5.8,4,0,0
111,66.0,0,717.27,1,2025-04-09,760.24,2,38.0,1,0,0
112,54.0,0,1751.49,6,2025-09-19,2144.64,2,8.8,0,1,0
113,12.0,0,1871.79,8,2025-12-18,366.74,1,38.2,1,0,1
114,69.0,1,1401.83,7,2025-10-20,1344.34,1,30.1,3,0,0
115,49.0,1,635.13,4,2025-09-01,1358.13,1,8.2,0,1,1
116,50.0,0,1202.6799999999998,7,2025-11-28,1017.51,1,36.3,4,0,0
117,58.0,0,1900.7,1,2025-03-17,1169.38,2,9.2,3,1,0
118,12.0,1,2407.97,9,2025-06-23,1169.38,1,29.6,4,0,1
119,58.0,1,1632.0,0,2025-03-20,1335.65,2,29.9,2,1,1
120,58.0,1,1202.6799999999998,5,2025-06-16,1723.32,0,43.5,3,0,0
121,44.0,0,1177.17,3,2025-07-20,707.58,0,8.0,1,0,1
122,69.0,0,932.26,1,2025-08-13,2486.67,0,16.4,4,1,1
123,56.0,1,1536.5,2,2025-09-17,444.76,0,17.8,3,1,0
124,38.0,1,1439.53,9,2025-02-04,1148.88,1,31.0,0,1,0
125,28.0,1,37.19,8,2025-09-14,2279.88,2,26.3,3,0,0
126,44.0,0,642.12,6,2025-12-11,735.07,0,26.8,3,1,1
127,40.0,0,1751.67,10,2025-10-12,1366.7,0,19.4,3,0,1
128,41.0,0,2388.86,0,2025-12-21,883.26,1,14.8,1,0,0
129,40.0,0,705.03,5,2025-03-14,2100.12,2,9.4,3,0,0
130,64.0,0,1478.13,7,2025-02-09,762.99,2,24.1,4,0,0
131,46.0,1,499.96,0,2025-02-06,2339.35,0,23.6,3,0,1
132,67.0,0,2063.56,6,2025-11-11,1867.18,0,22.9,0,1,0
133,64.0,0,72.64,1,2025-10-02,2024.46,1,7.8,4,1,1
134,18.0,0,1019.95,2,2025-10-22,710.74,2,7.1,3,1,0
135,43.0,1,1410.82,3,2025-11-27,1169.38,2,20.3,2,1,1
136,38.0,0,1176.65,7,2025-09-13,1898.22,2,11.9,3,1,1
137,58.0,1,1477.17,0,2025-05-21,1535.56,2,16.4,3,0,1
138,44.0,0,1202.6799999999998,1,2025-09-04,1090.05,2,27.2,1,0,1
139,40.0,0,2219.53,9,2025-02-08,228.04,2,44.4,1,1,1
140,22.0,0,535.77,0,2025-10-18,278.6,0,15.5,2,1,0
141,31.0,1,531.96,0,2025-05-02,1086.22,0,27.9,2,0,1
142,36.0,1,1384.49,1,2025-09-11,1827.81,1,40.4,2,0,0
143,60.0,1,1939.01,0,2025-11-13,621.6,2,27.0,1,0,1
144,63.0,1,1202.6799999999998,7,2025-08-12,843.18,0,38.5,0,0,0
145,39.0,0,1585.56,2,2025-06-21,2163.34,2,29.9,3,1,1
146,39.0,0,773.85,8,2025-04-02,1169.38,1,16.7,3,1,1
147,33.0,1,739.82,0,2025-10-04,1784.83,1,6.1,3,1,1
148,39.0,1,1782.5,0,2025-09-12,1169.38,2,3.5,2,0,0
149,51.0,0,1217.48,8,2025-07-16,90.64,0,43.6,4,1,1
150,53.0,0,1411.06,3,2025-12-08,2301.95,0,10.2,4,0,1
151,37.0,0,2363.64,3,2025-05-21,1169.38,0,16.0,4,0,0
152,68.0,1,1202.6799999999998,5,2025-11-11,2479.18,2,37.7,2,1,1
153,59.0,1,1202.6799999999998,9,2025-06-09,1204.97,1,19.2,0,1,1
154,41.0,0,2109.47,0,2025-08-07,1734.62,0,20.7,4,1,0
155,58.0,0,184.8,4,2025-05-11,417.75,1,35.3,1,1,1
156,19.0,0,2386.81,7,2025-04-07,964.57,2,13.8,1,1,0
157,44.0,1,650.93,9,2025-05-17,327.48,1,40.1,0,0,0
158,39.0,0,1610.23,1,2025-01-19,889.68,0,39.4,4,1,1
159,46.0,0,472.12,3,2025-05-12,2379.66,0,4.1,4,1,1
160,58.0,0,139.42,5,2025-04-18,1054.31,2,4.5,0,1,1
161,69.0,1,394.46,5,2025-02-13,1659.54,2,28.2,0,0,1
162,69.0,0,1196.19,2,2025-02-17,2314.82,0,18.0,4,0,1
163,56.0,1,103.77,1,2025-07-23,1183.84,1,27.2,4,1,1
164,52.0,0,839.65,1,2025-07-09,331.51,2,19.6,3,0,0
165,26.0,1,2123.04,7,2025-09-22,1399.01,0,34.2,4,0,0
166,26.0,0,1202.6799999999998,5,2025-02-06,1169.38,2,43.1,4,1,1
167,18.0,0,966.88,5,2025-12-17,2420.42,2,8.7,1,0,1
168,24.0,1,1599.19,10,2025-03-05,2172.62,0,30.6,2,1,1
169,66.0,1,1020.85,4,2025-11-11,1169.38,2,15.1,1,0,1
170,50.0,0,645.51,5,2025-01-01,339.94,0,2.1,3,0,1
171,35.0,0,376.07,3,2025-08-01,85.85,2,7.4,4,1,0
172,60.0,1,1961.06,8,2025-01-24,2340.71,2,41.5,4,1,0
173,59.0,1,1471.84,7,2025-09-14,1317.73,0,9.0,3,1,0
174,35.0,0,2090.54,4,2025-02-08,275.8,1,20.7,4,1,1
175,40.0,0,929.76,1,2025-05-20,1446.53,2,7.5,3,0,0
176,69.0,0,1563.32,1,2025-07-20,1169.38,2,40.0,0,0,1
177,20.0,1,874.29,3,2025-02-24,796.95,2,41.9,4,0,1
178,40.0,0,1202.6799999999998,0,2025-11-02,790.95,2,15.9,4,1,1
179,43.0,1,1970.76,4,2025-05-18,1169.38,1,38.1,2,1,1
180,51.0,1,890.98,1,2025-04-09,790.12,0,11.1,1,1,1
181,48.0,0,1202.6799999999998,9,2025-04-23,105.4,2,8.7,4,0,1
182,35.0,0,1202.6799999999998,5,2025-05-22,729.43,2,8.1,0,0,0
183,31.0,0,1202.6799999999998,3,2025-07-16,954.92,1,41.5,3,0,1
184,45.0,1,1289.23,7,2025-05-09,2076.23,2,5.1,1,1,1
185,29.0,0,381.83,2,2025-08-01,1077.88,1,9.9,0,1,1
186,23.0,0,858.82,5,2025-06-11,409.99,2,25.2,1,0,0
187,51.0,1,478.43,8,2025-10-10,2213.16,0,29.8,1,1,1
188,64.0,1,2295.29,8,2025-11-09,1169.38,2,22.8,0,0,0
189,0.0,0,1805.18,8,2025-11-04,1169.38,1,26.9,2,1,1
190,36.0,1,1834.38,7,2025-03-27,2466.64,2,23.3,4,1,0
191,68.0,1,1206.76,1,2025-12-04,250.29,1,5.9,0,0,1
192,65.0,0,224.28,2,2025-05-15,863.27,2,4.5,3,0,1
